Me,#genre#
动物星球,http://f8.apps8888.com:8080/live/1125/fe3f44d83db01b43ae538dd057f06350/index.m3u8
国家野生,http://f8.apps8888.com:8080/live/1038/14609b15b757bb8120d318ade317eeb9/index.m3u8
好莱坞电影,http://f8.apps8888.com:8080/live/37/cecaf4fb701d27e6c52ad04d3b882c62/index.m3u8
FOX动作电影,http://104.250.154.42:8080/ZZ_foxaction/ZZ_foxaction.m3u8
FOX优质电影,http://58.99.33.9:1935/liveedge2/live_69_1.stream/chunklist2083437237.m3u8?checkCode=37050688asdfsdfsadf&aa=as
CineMAX,http://f8.apps8888.com:8080/live/346/e5190ee8aab10f5823a75703f0264171/index.m3u8
FOX优质电影,http://f8.apps8888.com:8080/live/385/393e0f8c8bf01fbaf860209d1184956d/index.m3u8
FOX动作电影,http://192.154.103.75:8080/ZZ_foxaction/ZZ_foxaction.m3u8
东森新闻,https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1593610026/ei/yjr8Xp26CZmWkwaBsaLACg/ip/198.255.103.2/id/RaIJ767Bj_M.1/itag/95/source/yt_live_broadcast/requiressl/yes/ratebypass/yes/live/1/goi/160/sgoap/gir%3Dyes%3Bitag%3D140/sgovp/gir%3Dyes%3Bitag%3D136/hls_chunk_host/r1---sn-a5msen76.googlevideo.com/playlist_duration/30/manifest_duration/30/vprv/1/playlist_type/DVR/initcwndbps/4430/mh/zp/mm/44/mn/sn-a5msen76/ms/lva/mv/m/mvi/0/pl/24/dover/11/keepalive/yes/mt/1593588315/sparams/expire
民视,http://ff.apps1818.com:8080/live/26/9db6367caf56e1265bc0b26ca0c81cc4/index.m3u8
民视,http://ff.apps1818.com:8080/live/336/d81a60510844e9859a203834b2a11cfd/index.m3u8
华视,http://ff.apps1818.com:8080/live/32/e5696fa7d3de6a0d0ca08e42c6d81e70/index.m3u8
华视,http://ff.apps1818.com:8080/live/327/4b36669b376aaa78a95370c5a8e4038c/index.m3u8
中视,http://ff.apps1818.com:8080/live/28/0f515d98673eee0264741580e79f068d/index.m3u8
中视,http://ff.apps1818.com:8080/live/333/14388b4fc29b7083d08a6b57643fdc24/index.m3u8
台视,http://ff.apps1818.com:8080/live/27/fa9f50f96c14baa46c3eade706c742e3/index.m3u8
台视,http://ff.apps1818.com:8080/live/326/9bb69d4194cf3303d6315a27b612105f/index.m3u8
公视,http://ff.apps1818.com:8080/live/86/8d205a5ec64514b9865179cccd5ccc39/index.m3u8
公视,http://ff.apps1818.com:8080/live/361/200192a94a43dad195b8e848fcd14ec6/index.m3u8
三立都会,http://ff.apps1818.com:8080/live/310/f8f663007fa7254a0340c598f7e26423/index.m3u8
三立都会备,http://ff.apps1818.com:8080/live/38/27780231721f2b05c125add2a16b1290/index.m3u8
三立台湾,http://ff.apps1818.com:8080/live/309/aa449611c4544732c3e1bb9ffdb38edf/index.m3u8
三立台湾,http://ff.apps1818.com:8080/live/35/347d64b5cf4f65af7bddae38c52c730f/index.m3u8
纬来日本备,http://ff.apps1818.com:8080/live/46/9dc57837a5e1c44d6d4009f00b008f0d/index.m3u8
纬来日本,http://ff.apps1818.com:8080/live/337/bf5474ae2ac0f220559c36c582ea1428/index.m3u8
东森综合,http://ff.apps1818.com:8080/live/372/a040c38f78cc720b9778ace2abf96934/index.m3u8
八大第一,http://ff.apps1818.com:8080/live/318/27884002fda5d4dfe480d1de682a6e70/index.m3u8
JET综合备,http://ff.apps1818.com:8080/live/41/e2ca7adaa343f46ccadebbb1528d38dc/index.m3u8
韩国娱乐台,http://ff.apps1818.com:8080/live/73/e491fc894d711985f82c3523a7c7ef4c/index.m3u8
JET综合,http://ff.apps1818.com:8080/live/104/332336883e84eeec6595aee702b0561d/index.m3u8
八大娱乐,http://ff.apps1818.com:8080/live/80/b92a6b7b4960e2ab0227c9620a428e42/index.m3u8
八大娱乐,http://ff.apps1818.com:8080/live/1028/813f87ddf6e9173328eb6e81eeebed27/index.m3u8
纬来综合,http://ff.apps1818.com:8080/live/340/7c2838f35ee5e21b460ee933ab42f05a/index.m3u8
民视综艺,http://ff.apps1818.com:8080/live/98/0f6cb338b08e13e44d95c513b1c622bd/index.m3u8
ELTA娱乐台,http://ff.apps1818.com:8080/live/351/ec30b88cc14404086ce8cb264cafc08f/index.m3u8
猪哥亮歌厅秀,http://ff.apps1818.com:8080/live/75/f191668c5016d3f3cfa810c825f90051/index.m3u8
TVBS欢乐台,http://ff.apps1818.com:8080/live/40/6778a962847997567ffc67cf3bc6630d/index.m3u8
靖天日本,http://ff.apps1818.com:8080/live/108/cd537c7664fc2f8c04067c75cf10196c/index.m3u8
八大精彩,http://ff.apps1818.com:8080/live/1024/6b739364e928326ee80dd1e4b07da6d8/index.m3u8
TVBS综合,http://ff.apps1818.com:8080/live/16/c559aab2fefe75ac898d4bfba875412e/index.m3u8
民视台湾,http://ff.apps1818.com:8080/live/36/ba88081cf3ca9e91be0b9ae965a0fe00/index.m3u8
国兴卫视,http://ff.apps1818.com:8080/live/105/647cfe58f2bd057144b9a30b5744ea91/index.m3u8
中天娱乐备,http://ff.apps1818.com:8080/live/74/d7a8336baccd1532a5c217db16189765/index.m3u8
LUXE,http://ff.apps1818.com:8080/live/112/bb13a9306c83450b7e967bc112f8781f/index.m3u8
纬来育乐,http://ff.apps1818.com:8080/live/312/ed4dbb44f0e1f347a7d1609842d44037/index.m3u8
中天亚洲,http://ff.apps1818.com:8080/live/322/8b460567d542bdd4fe57f93c2cd737f0/index.m3u8
TVBS精采,http://ff.apps1818.com:8080/live/66/6bc54710a44a8304ab570267760af298/index.m3u8
星卫娱乐,http://ff.apps1818.com:8080/live/89/8d979785d797269c49e7ec4c55fb5e80/index.m3u8
中天综合备,http://ff.apps1818.com:8080/live/54/db933896bffbde4c696abb6cb9f24d93/index.m3u8
八大综合,http://ff.apps1818.com:8080/live/94/1f9d01b326cbbd6c05610f7d4c04f916/index.m3u8
VTV4,http://ff.apps1818.com:8080/live/341/a8e85a8f1179eb73340c8a7344c6da80/index.m3u8
龙翔时代,http://ff.apps1818.com:8080/live/373/b50cb11772afaebe714dd10a8232565f/index.m3u8
龙翔时代备,http://ff.apps1818.com:8080/live/51/0d6327b7c632227c1fe31e818005464b/index.m3u8
MTV,http://ff.apps1818.com:8080/live/106/80ecb195d32519224705435a7c4d9f83/index.m3u8
鸿基电视,http://ff.apps1818.com:8080/live/315/3aee7111f24ab6ad447c412c0c94721e/index.m3u8
星卫娱乐,http://ff.apps1818.com:8080/live/320/57cd354521cce3b2027783a4c92265a2/index.m3u8
龙华经典,http://ff.apps1818.com:8080/live/364/b0c8a3ee737cc87456a3813e235fb4d4/index.m3u8
民视台湾,http://ff.apps1818.com:8080/live/1027/a60c0db7396f7ab275997f9f734549be/index.m3u8
东森综合,http://ff.apps1818.com:8080/live/67/2ddec5cb40bf6835b6d4a515784fa408/index.m3u8
大爱一台,http://ff.apps1818.com:8080/live/11/a6381264f3f43eed21aaddbc3d636ce5/index.m3u8
人间卫视,http://ff.apps1818.com:8080/live/101/9037aa184dcf79b253cbc8fb375b523d/index.m3u8
法国时装,http://ff.apps1818.com:8080/live/113/49910b3be4f4f8bcec00e533fe529487/index.m3u8
中天娱乐,http://ff.apps1818.com:8080/live/324/17fd404aebce33e1fb35a100596304a0/index.m3u8
